Person_ID,Entry_Timestamp_Video,Exit_Timestamp_Video
103,241.2,257.93333333333334
105,241.46666666666667,248.4
107,246.53333333333333,248.86666666666667
109,247.2,256.0
111,249.33333333333334,251.53333333333333
112,249.46666666666667,251.86666666666667
114,253.0,255.46666666666667
115,273.53333333333336,275.93333333333334
127,286.1333333333333,293.53333333333336
132,311.26666666666665,313.3333333333333
133,313.8,349.6666666666667
134,354.8666666666667,360.93333333333334
135,357.1333333333333,361.06666666666666
139,359.8666666666667,362.1333333333333
140,362.1333333333333,366.6666666666667
144,364.06666666666666,380.8666666666667
149,384.93333333333334,387.06666666666666
151,400.3333333333333,404.6
154,451.4,454.93333333333334
155,456.26666666666665,460.8
160,578.6,580.6
161,578.7333333333333,584.2
163,587.4,596.0666666666667
165,649.1333333333333,654.6666666666666
167,661.6,673.5333333333333
170,674.9333333333333,682.6
171,685.9333333333333,699.6666666666666
172,700.1333333333333,705.6
173,713.2666666666667,722.9333333333333
175,741.8666666666667,745.8
178,859.2,868.6
183,966.2666666666667,970.3333333333334
185,982.9333333333333,990.8
186,1016.5333333333333,1034.0666666666666
188,1041.5333333333333,1065.6666666666667
190,1067.3333333333333,1088.0666666666666
193,1600.0666666666666,1604.0
195,1713.0,1720.3333333333333
196,1721.1333333333334,1725.0
66,213.13333333333333,218.73333333333332
67,215.13333333333333,228.73333333333332
73,219.13333333333333,221.13333333333333
75,222.13333333333333,224.66666666666666
77,222.6,224.86666666666667
85,231.0,239.93333333333334
86,231.33333333333334,234.06666666666666
92,232.33333333333334,234.6
93,232.4,249.06666666666666
